"","site","vol"
"MPI-058_0.5km","MPI-058_0.5km","3094031.87404875"
"MPI-059_0.5km","MPI-059_0.5km","3475586.25337375"
"MPI-060_0.5km","MPI-060_0.5km","2277864.9512925"
"MPI-061_0.5km","MPI-061_0.5km","13356.29164125"
"MPI-062_0.5km","MPI-062_0.5km","1086171.401325"
"MPI-063_0.5km","MPI-063_0.5km","20254830.6207874"
"MPI-064_0.5km","MPI-064_0.5km","773390.91481875"
"MPI-065_0.5km","MPI-065_0.5km","237659.31507"
"MPI-066_0.5km","MPI-066_0.5km","1385444.93262375"
"MPI-067_0.5km","MPI-067_0.5km","2085925.3262947"
"MPI-068_0.5km","MPI-068_0.5km","308105.6224275"
"MPI-069_0.5km","MPI-069_0.5km","1003309.50483375"
"MPI-070_0.5km","MPI-070_0.5km","671509.16511"
"MPO-001_0.5km","MPO-001_0.5km","109811.78109375"
"MPO-002_0.5km","MPO-002_0.5km","69227.0782725"
"MPO-003_0.5km","MPO-003_0.5km","2671974.11090695"
"MPO-004_0.5km","MPO-004_0.5km","1029682.9029825"
"MPO-005_0.5km","MPO-005_0.5km","556944.9119625"
"MPO-006_0.5km","MPO-006_0.5km","16491.29386875"
"MPO-007_0.5km","MPO-007_0.5km","1303682.90486625"
"MPO-008_0.5km","MPO-008_0.5km","255082.6131975"
"MPO-009_0.5km","MPO-009_0.5km","449477.609535"
"MPO-010_0.5km","MPO-010_0.5km","2116844.39382"
"MPO-011_0.5km","MPO-011_0.5km","413922.87238875"
"MPO-012_0.5km","MPO-012_0.5km","449704.45767375"
"MPO-013_0.5km","MPO-013_0.5km","236793.94546"
"MPO-014_0.5km","MPO-014_0.5km","503074.40931375"
"MPO-015_0.5km","MPO-015_0.5km","844464.62798625"
"MPO-016_0.5km","MPO-016_0.5km","1106861.78710125"
"MPO-017_0.5km","MPO-017_0.5km","750120.61814625"
"MPO-018_0.5km","MPO-018_0.5km","3176052.44006925"
"MPO-019_0.5km","MPO-019_0.5km","800835.20120625"
"MPO-020_0.5km","MPO-020_0.5km","1181083.55083875"
"MPO-021_0.5km","MPO-021_0.5km","425302.0341375"
"MPO-022_0.5km","MPO-022_0.5km","264438.95566125"
"MPO-023_0.5km","MPO-023_0.5km","903768.19459125"
"MPO-024_0.5km","MPO-024_0.5km","1104367.9982625"
"MPO-025_0.5km","MPO-025_0.5km","917332.23522"
"MPO-026_0.5km","MPO-026_0.5km","1278992.3126925"
"MPO-027_0.5km","MPO-027_0.5km","398075.737605"
"MPO-028_0.5km","MPO-028_0.5km","1072339.97230125"
"MPO-029_0.5km","MPO-029_0.5km","1614348.44850135"
"MPO-030_0.5km","MPO-030_0.5km","3224932.23758458"
"MPO-031_0.5km","MPO-031_0.5km","1500581.1134025"
"MPO-032_0.5km","MPO-032_0.5km","843606.9879075"
"MPO-033_0.5km","MPO-033_0.5km","2700.30385125"
"MPO-034_0.5km","MPO-034_0.5km","555943.34914125"
"MPO-035_0.5km","MPO-035_0.5km","1303195.686765"
"MPO-036_0.5km","MPO-036_0.5km","578713.3257343"
